Experience,Employment type,Satisfaction,Salary,Stability,Age,Location
15 - 20 years,Self-employed / Small business owner,"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,37,northeast
5 - 9 years,Freelance,"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,30,northeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,30,southwest
15 - 20 years,"Permalance (agency, in-house, etc.)","Not really satisfied, but I deal","$50,000 to $74,999",I'm a little concerned,52,northeast
15 - 20 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$100,000 to $149,999",Fairly stable,37,southeast
10 - 14 years,Full-time employee (in-house),Ready to call it quits,"$75,000 to $99,999",Fairly stable,30,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$50,000 to $74,999",Rock solid,30,southeast
5 - 9 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$50,000 to $74,999",Fairly stable,28,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$75,000 to $99,999",Fairly stable,25,southeast
1 - 4 years,Full-time employee (agency/consultancy),Extremely satisfied with my work situation,"$75,000 to $99,999",Rock solid,24,southeast
5 - 9 years,Full-time employee (agency/consultancy),Ready to call it quits,"$50,000 to $74,999",I keep my things in a box,29,southeast
1 - 4 years,Full-time employee (in-house),Extremely satisfied with my work situation,"$35,000 to $49,999",Fairly stable,23,southeast
5 - 9 years,Full-time employee (in-house),"Not really satisfied, but I deal","$25,000 to $34,999",I'm a little concerned,31,southeast
5 - 9 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,29,southeast
1 - 4 years,Full-time employee (agency/consultancy),"Not really satisfied, but I deal","$50,000 to $74,999",I keep my things in a box,24,west
1 - 4 years,Full-time employee (agency/consultancy),"Happy, but there's room for improvement","$75,000 to $99,999",Fairly stable,25,southeast
10 - 14 years,Full-time employee (in-house),"Happy, but there's room for improvement","$75,000 to $99,999",Rock solid,31,southeast
